,Unnamed: 0,source,target,source_un,target_un
0,0,1108409117419454466,2737009538,DrNadaAdel23,AbdoMn222
1,0,1108409117419454466,3300801132,DrNadaAdel23,Mahmoudelfeky50
2,0,1108409117419454466,788045303408652293,DrNadaAdel23,marymelsheshai
3,0,1108409117419454466,1326888896534351875,DrNadaAdel23,Aliaa97755895
4,0,1108409117419454466,1142761966139822080,DrNadaAdel23,mhmd789000
5,0,1108409117419454466,1468277442880147461,DrNadaAdel23,EsraaAdham18
6,0,1108409117419454466,1168014519454638080,DrNadaAdel23,husseinElbaz___
7,0,1108409117419454466,1103441656383266817,DrNadaAdel23,Abzoo9
8,0,1108409117419454466,1298680151631450114,DrNadaAdel23,QC5IN1x5cROz6OU
9,0,1108409117419454466,1395110428485865473,DrNadaAdel23,Mao0mn
10,0,1108409117419454466,1438557814369173504,DrNadaAdel23,AbeerMa16879385
11,0,1108409117419454466,1427467109144186883,DrNadaAdel23,khokhaelbana_
12,0,1108409117419454466,979060316070907904,DrNadaAdel23,Ahmed_Abo_trik
13,0,1108409117419454466,2468046332,DrNadaAdel23,_b_f_1_
14,0,1108409117419454466,1416511267771195394,DrNadaAdel23,ElhadadSobhy
15,0,1108409117419454466,1348954508215406593,DrNadaAdel23,EsraaFa49433351
16,0,1108409117419454466,1401911288436072448,DrNadaAdel23,DrIbrahimSadek1
17,0,1108409117419454466,888638521212272640,DrNadaAdel23,CuleZozz
18,0,1108409117419454466,1406436433775190026,DrNadaAdel23,EslamHoamy
19,0,1108409117419454466,1396828847212044296,DrNadaAdel23,nrvvww
20,0,1108409117419454466,1051269283031015424,DrNadaAdel23,Nada82281716
21,0,1108409117419454466,1392402779004624897,DrNadaAdel23,FuadZaina
22,0,1108409117419454466,1304145751233228800,DrNadaAdel23,Zeka_Alashqam
23,0,1108409117419454466,1387168164857925632,DrNadaAdel23,3IS2fuQ1RFrkHWd
24,0,1108409117419454466,1387160885890846725,DrNadaAdel23,dP9bVxVv3TjIijd
25,0,1108409117419454466,1387018082208583685,DrNadaAdel23,3XacsLVYBgfYqhi
26,0,1108409117419454466,1384796274684215296,DrNadaAdel23,JZbTJDLNHjOmSan
